Tick,RunF64,RunF32,RunI64,RunI32
4,2e-08,2e-08,1e-08,1e-08
8,2e-08,2e-08,2e-08,2e-08
16,4e-08,4e-08,4e-08,4e-08
32,9e-08,8e-08,8e-08,8e-08
64,1.7e-07,1.7e-07,1.7e-07,1.7e-07
128,3.3e-07,3.2e-07,3.2e-07,3.2e-07
256,6.5e-07,6.4e-07,6.2e-07,6.2e-07
512,1.27e-06,1.23e-06,1.22e-06,1.21e-06
1024,2.52e-06,2.48e-06,2.52e-06,2.42e-06
2048,5.1e-06,4.91e-06,4.89e-06,4.86e-06
4096,1.022e-05,1.013e-05,9.82e-06,9.72e-06
8192,2.002e-05,1.972e-05,1.95e-05,1.936e-05
16384,4.047e-05,4.01e-05,3.986e-05,3.944e-05
32768,8.283e-05,7.98e-05,7.868e-05,7.819e-05
65536,0.00016197,0.00015956,0.00015753,0.0001566
131072,0.00032177,0.0003172,0.00031825,0.00031062
262144,0.00065127,0.00063593,0.00063308,0.00062247
